# Time-averaged data for fix myat2
# TimeStep v_Ntype2in v_Ntype2ou
10000 90.1 28.9
20000 79.1 39.9
30000 79 40
40000 77.3 41.7
50000 72.4 46.6
60000 70.5 48.5
70000 70.6 48.4
80000 67.7 51.3
90000 64.4 54.6
100000 64.2 54.8
