# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
1740 1.54207 -0.22916 0.022609
1750 1.52043 -0.227342 0.0223226
1760 1.49469 -0.225999 0.0222386
1770 1.48878 -0.226474 0.0220745
1780 1.50091 -0.227206 0.0218939
1790 1.50075 -0.224716 0.0218454
1800 1.51843 -0.22672 0.0217413
1810 1.50897 -0.222379 0.02201
1820 1.49892 -0.229373 0.021201
1830 1.50833 -0.226341 0.021881
1840 1.50507 -0.219862 0.0226232
1850 1.48553 -0.222219 0.0219112
1860 1.48047 -0.223546 0.0215999
1870 1.47937 -0.229673 0.0208071
1880 1.47659 -0.223894 0.0214383
1890 1.47037 -0.223783 0.0212454
1900 1.49442 -0.223613 0.0214507
1910 1.49234 -0.222588 0.0215842
1920 1.50484 -0.223946 0.0218301
1930 1.47345 -0.218243 0.0221599
1940 1.46969 -0.221882 0.0214516
1950 1.49063 -0.22467 0.0212422
1960 1.50139 -0.216468 0.0224064
1970 1.50231 -0.218024 0.0224595
1980 1.53242 -0.222072 0.022509
1990 1.49001 -0.21634 0.0225522
2000 1.50232 -0.222593 0.0219855
2010 1.49233 -0.223296 0.0217112
2020 1.48091 -0.221185 0.0219463
2030 1.50979 -0.220299 0.0222955
2040 1.501 -0.223481 0.0218944
2050 1.50966 -0.221594 0.0226322
2060 1.49414 -0.220477 0.0228596
2070 1.52732 -0.225092 0.0229478
2080 1.49264 -0.226831 0.0223613
2090 1.50574 -0.224747 0.0228928
2100 1.50258 -0.226723 0.0225587
2110 1.49314 -0.230619 0.0219391
2120 1.50331 -0.229668 0.0223735
2130 1.50366 -0.222596 0.0234545
2140 1.50008 -0.226094 0.0228033
2150 1.51695 -0.222914 0.0232547
2160 1.50241 -0.226575 0.022552
2170 1.52127 -0.227061 0.0227807
2180 1.5205 -0.224664 0.0231565
2190 1.51276 -0.228267 0.0224947
2200 1.50684 -0.223495 0.0228455
2210 1.52772 -0.224681 0.0226562
2220 1.50401 -0.229659 0.0214901
2230 1.51433 -0.226527 0.0222348
2240 1.47677 -0.223885 0.0219896
2250 1.49506 -0.220563 0.0227338
2260 1.52621 -0.223206 0.0229425
2270 1.52017 -0.218682 0.023184
2280 1.51761 -0.220384 0.0224726
2290 1.46003 -0.227296 0.0206228
2300 1.4792 -0.222512 0.0215466
2310 1.5176 -0.221421 0.0224671
2320 1.50445 -0.224909 0.0220509
2330 1.52697 -0.22179 0.0228976
2340 1.49209 -0.219893 0.0224172
2350 1.5132 -0.221324 0.0222401
2360 1.4876 -0.222999 0.0215673
2370 1.51731 -0.219836 0.0223093
2380 1.51418 -0.221096 0.021969
2390 1.52865 -0.220547 0.0222384
2400 1.51356 -0.213977 0.0227631
2410 1.48682 -0.216996 0.0218566
2420 1.48334 -0.216643 0.0218137
2430 1.47463 -0.218839 0.0214838
2440 1.49804 -0.219623 0.0216086
2450 1.51725 -0.220213 0.0218437
2460 1.5006 -0.219577 0.0217505
2470 1.47947 -0.220325 0.0212787
2480 1.48174 -0.216426 0.021945
2490 1.47996 -0.217345 0.0221272
2500 1.49491 -0.217049 0.022443
2510 1.48851 -0.221185 0.022059
2520 1.50417 -0.217698 0.0228378
2530 1.48816 -0.213587 0.0229585
2540 1.50681 -0.22044 0.0221387
2550 1.52278 -0.217806 0.0225453
2560 1.53211 -0.21418 0.0233493
2570 1.5287 -0.214967 0.0234906
2580 1.52825 -0.216702 0.0232474
2590 1.50622 -0.219964 0.0223269
2600 1.51514 -0.215466 0.0228513
2610 1.5244 -0.222767 0.0221439
2620 1.49182 -0.214565 0.022658
2630 1.47133 -0.220912 0.0214074
2640 1.50861 -0.222776 0.0215627
2650 1.49755 -0.221343 0.0215012
2660 1.49118 -0.220693 0.0214503
2670 1.5088 -0.218473 0.0221618
2680 1.50558 -0.209576 0.0232522
2690 1.51953 -0.217614 0.0226118
2700 1.51689 -0.216002 0.0226009
2710 1.51623 -0.219905 0.0222353
2720 1.50738 -0.220353 0.0220817
2730 1.51878 -0.22294 0.0219546
2740 1.49944 -0.219739 0.0221616
2750 1.52745 -0.218471 0.0230238
2760 1.50314 -0.216872 0.0230754
2770 1.48653 -0.218628 0.0226417
2780 1.49355 -0.220933 0.0223165
2790 1.49857 -0.218663 0.0223875
2800 1.49114 -0.218762 0.0220102
2810 1.51423 -0.219609 0.0223267
2820 1.50902 -0.215941 0.0228092
2830 1.51559 -0.216244 0.0229096
2840 1.49415 -0.218038 0.0224882
2850 1.49354 -0.21695 0.0227275
2860 1.47342 -0.222487 0.0217716
2870 1.48796 -0.214527 0.0229646
2880 1.52446 -0.226127 0.0222373
2890 1.50179 -0.223399 0.0222718
2900 1.50561 -0.215923 0.0230851
2910 1.48731 -0.222294 0.0219327
2920 1.48446 -0.218753 0.0223566
2930 1.46693 -0.221347 0.0218473
2940 1.4836 -0.219191 0.0223635
2950 1.46354 -0.213608 0.0226618
2960 1.49085 -0.222057 0.0220666
2970 1.52235 -0.224185 0.0222987
2980 1.48486 -0.22424 0.0217115
2990 1.48771 -0.223466 0.0219512
3000 1.4728 -0.219536 0.022419
3010 1.49242 -0.218125 0.0228936
3020 1.50256 -0.222997 0.0223711
3030 1.51879 -0.223417 0.0224699
3040 1.50396 -0.219225 0.0225334
3050 1.49942 -0.217777 0.0225541
3060 1.50039 -0.222261 0.0221215
3070 1.47508 -0.217288 0.022431
3080 1.4734 -0.222715 0.0217651
3090 1.48591 -0.224073 0.0217043
3100 1.48196 -0.22232 0.0217383
3110 1.5253 -0.222429 0.0223035
3120 1.48491 -0.220836 0.0217705
3130 1.47805 -0.221743 0.0215092
3140 1.47383 -0.220206 0.0216667
3150 1.49636 -0.22098 0.0219356
3160 1.5246 -0.220465 0.0223807
3170 1.4756 -0.223971 0.0211064
3180 1.51029 -0.221848 0.0219102
3190 1.52433 -0.218718 0.0227213
3200 1.50692 -0.219416 0.0223918
3210 1.49678 -0.221296 0.0220384
3220 1.50255 -0.22608 0.0214903
3230 1.50661 -0.223327 0.0217217
3240 1.50604 -0.221792 0.0218188
3250 1.5152 -0.224093 0.0217155
3260 1.4728 -0.222578 0.0214266
3270 1.4917 -0.223464 0.0216982
3280 1.47093 -0.220802 0.0216499
3290 1.52186 -0.22296 0.0220692
3300 1.49443 -0.221417 0.0217734
3310 1.4765 -0.219015 0.0219033
3320 1.48551 -0.219618 0.0219523
3330 1.48886 -0.220016 0.0218414
3340 1.49059 -0.222253 0.0216348
3350 1.50611 -0.218279 0.0223501
3360 1.49508 -0.219719 0.0221168
3370 1.49021 -0.219397 0.0222687
3380 1.51575 -0.215709 0.0229993
3390 1.51057 -0.218892 0.0225736
3400 1.49036 -0.222884 0.0218547
3410 1.50083 -0.216483 0.0225488
3420 1.49109 -0.220148 0.0219688
3430 1.51102 -0.221846 0.0223621
3440 1.50808 -0.224909 0.0223252
3450 1.5114 -0.224444 0.0227071
3460 1.46935 -0.224015 0.0223428
3470 1.51321 -0.224066 0.0228836
3480 1.51792 -0.222956 0.0228289
3490 1.46688 -0.216163 0.0224778
3500 1.52546 -0.223152 0.0222824
3510 1.52546 -0.220192 0.0226173
3520 1.4846 -0.217653 0.0222769
3530 1.48903 -0.21981 0.0218209
3540 1.49438 -0.21903 0.0217633
3550 1.48296 -0.224224 0.0209037
3560 1.47528 -0.218543 0.0214386
3570 1.48878 -0.218813 0.021653
3580 1.48209 -0.21927 0.0214339
3590 1.52697 -0.223271 0.0214264
3600 1.53968 -0.224603 0.0214589
3610 1.49662 -0.220823 0.0216025
3620 1.49749 -0.223656 0.0216468
3630 1.48136 -0.218591 0.0220523
3640 1.49263 -0.223932 0.0215833
3650 1.52032 -0.224804 0.0220349
3660 1.49589 -0.224353 0.0216473
3670 1.5217 -0.227199 0.0216125
3680 1.50193 -0.222467 0.0218322
3690 1.51051 -0.226913 0.0215515
3700 1.48356 -0.216277 0.0224303
3710 1.51214 -0.226098 0.0216712
3720 1.4731 -0.226739 0.0211268
3730 1.48014 -0.222932 0.021867
3740 1.46662 -0.224944 0.0214942
3750 1.48412 -0.228062 0.0214392
3760 1.48478 -0.228411 0.0215056
3770 1.49033 -0.231898 0.0210763
3780 1.49406 -0.227179 0.0216688
3790 1.48391 -0.227793 0.0213292
3800 1.49117 -0.224512 0.0217208
3810 1.49101 -0.226066 0.0215226
3820 1.49155 -0.226334 0.0216198
3830 1.48916 -0.216649 0.0227142
3840 1.50058 -0.221357 0.0222664
3850 1.51005 -0.223341 0.0221336
3860 1.52654 -0.225069 0.0222794
3870 1.5344 -0.218844 0.0233845
3880 1.50376 -0.226591 0.0222285
3890 1.52374 -0.229171 0.0224119
3900 1.49148 -0.226551 0.0222326
3910 1.49366 -0.229694 0.0219136
3920 1.49291 -0.232345 0.0215724
3930 1.49043 -0.231277 0.0216791
3940 1.48064 -0.223706 0.0226677
3950 1.48075 -0.228196 0.0220784
3960 1.50605 -0.233851 0.0215771
3970 1.51027 -0.231964 0.0218443
3980 1.47058 -0.229972 0.0215444
3990 1.48495 -0.223045 0.0225007
4000 1.5159 -0.225293 0.0227797
4010 1.50877 -0.225312 0.0228997
4020 1.4808 -0.223789 0.0226582
4030 1.5063 -0.230755 0.0221695
4040 1.49838 -0.226512 0.0223093
4050 1.4891 -0.23246 0.0212744
4060 1.48735 -0.224048 0.0219286
4070 1.52489 -0.230636 0.0216641
4080 1.48494 -0.229512 0.0212196
4090 1.51955 -0.228789 0.0217103
4100 1.47219 -0.228715 0.0210203
4110 1.48962 -0.22253 0.0218498
4120 1.50749 -0.22606 0.0216924
4130 1.54262 -0.219839 0.0229551
4140 1.51801 -0.223984 0.0220869
4150 1.50304 -0.225388 0.0216449
4160 1.51104 -0.223082 0.0220527
4170 1.51713 -0.221392 0.0223179
4180 1.48326 -0.217188 0.0223148
4190 1.46806 -0.224208 0.0212136
4200 1.47514 -0.223369 0.021293
4210 1.50976 -0.22079 0.0221731
4220 1.51196 -0.219252 0.0226506
4230 1.50398 -0.222146 0.0224188
4240 1.49077 -0.223701 0.0220638
4250 1.49584 -0.225404 0.0220629
4260 1.4884 -0.224559 0.0220597
4270 1.49193 -0.220979 0.0226439
4280 1.50779 -0.22555 0.022178
4290 1.49146 -0.227139 0.0215041
4300 1.50688 -0.222189 0.0222054
4310 1.50936 -0.222134 0.022095
4320 1.48993 -0.219162 0.0221704
4330 1.49888 -0.221051 0.0222227
4340 1.49048 -0.217541 0.0224324
4350 1.50761 -0.221092 0.0221356
4360 1.50343 -0.209599 0.0234526
4370 1.51333 -0.215248 0.0228853
4380 1.52219 -0.216218 0.022798
4390 1.49637 -0.216809 0.0221471
4400 1.45871 -0.212096 0.0219081
4410 1.48777 -0.205617 0.0228092
4420 1.49492 -0.210429 0.0222225
4430 1.47842 -0.209708 0.0221471
4440 1.46806 -0.215244 0.0214901
4450 1.47443 -0.217024 0.0214383
4460 1.50524 -0.216934 0.0219784
4470 1.51888 -0.221237 0.0218624
4480 1.53128 -0.217203 0.0226422
4490 1.51312 -0.217869 0.0221055
4500 1.51565 -0.217138 0.0220609
4510 1.49824 -0.21882 0.0215434
4520 1.49454 -0.218333 0.0215529
4530 1.49583 -0.215048 0.0220659
4540 1.4758 -0.212531 0.0220802
4550 1.46187 -0.213884 0.0218152
4560 1.47932 -0.215928 0.021854
4570 1.50423 -0.219386 0.0218905
4580 1.49609 -0.216848 0.0218931
4590 1.50053 -0.218469 0.0217886
4600 1.51873 -0.215702 0.0225167
4610 1.50197 -0.216671 0.0221006
4620 1.50347 -0.218757 0.0218105
4630 1.50265 -0.218496 0.0217714
4640 1.48303 -0.218889 0.0215761
4650 1.50939 -0.217655 0.0221502
4660 1.49075 -0.218329 0.021776
4670 1.49371 -0.217115 0.0219982
4680 1.49792 -0.221514 0.0216043
4690 1.49748 -0.21845 0.0219959
4700 1.48693 -0.212596 0.0227609
4710 1.50357 -0.215867 0.0227744
4720 1.50258 -0.217937 0.0223947
4730 1.50122 -0.21181 0.0229324
4740 1.48031 -0.216772 0.0219294
4750 1.48767 -0.216515 0.0219569
4760 1.49107 -0.210143 0.0223919
4770 1.51221 -0.214101 0.0218847
4780 1.5215 -0.209052 0.0223867
4790 1.51805 -0.213638 0.0219221
4800 1.51081 -0.215625 0.0218726
4810 1.51109 -0.218374 0.0216682
4820 1.51003 -0.214764 0.0220019
4830 1.5094 -0.21782 0.0217478
4840 1.47373 -0.220378 0.0211617
4850 1.48177 -0.220155 0.0214234
4860 1.50348 -0.226786 0.0209862
4870 1.50188 -0.222452 0.0217344
4880 1.51113 -0.223107 0.0219811
4890 1.51661 -0.221684 0.0222504
4900 1.49459 -0.214425 0.0227563
4910 1.48673 -0.21379 0.0225068
4920 1.47765 -0.219264 0.0215767
4930 1.49865 -0.21412 0.0225619
4940 1.47875 -0.218863 0.0218557
4950 1.48281 -0.218293 0.0218969
4960 1.4894 -0.21767 0.0219692
4970 1.4843 -0.220441 0.0215484
4980 1.51942 -0.216788 0.0224774
4990 1.51931 -0.218056 0.0224049
5000 1.52088 -0.2214 0.0220747
5010 1.51596 -0.223594 0.0217741
5020 1.51828 -0.217736 0.0227457
5030 1.50775 -0.217908 0.0227379
5040 1.50164 -0.211359 0.0233673
5050 1.50712 -0.209837 0.0236862
5060 1.49113 -0.218032 0.022452
5070 1.4954 -0.218365 0.0222741
5080 1.48113 -0.220853 0.0214101
5090 1.49005 -0.22194 0.0211584
5100 1.49095 -0.221024 0.0213977
5110 1.52554 -0.218765 0.0222056
5120 1.48657 -0.213564 0.0221513
5130 1.52914 -0.212111 0.0228289
5140 1.52965 -0.212796 0.0230548
5150 1.52024 -0.218758 0.0225597
5160 1.49712 -0.217284 0.022388
5170 1.46007 -0.219758 0.0217033
5180 1.49367 -0.217732 0.0226332
5190 1.50396 -0.21954 0.0224362
5200 1.50192 -0.218976 0.0223216
5210 1.48739 -0.21647 0.022371
5220 1.50429 -0.216663 0.02264
5230 1.50758 -0.22169 0.0221298
5240 1.47979 -0.218513 0.0220541
5250 1.49696 -0.214594 0.0228028
5260 1.52249 -0.217621 0.0226449
5270 1.52135 -0.210624 0.0232461
5280 1.49441 -0.218339 0.021641
5290 1.48478 -0.221497 0.0209307
5300 1.51116 -0.215014 0.0222297
5310 1.50656 -0.21316 0.0225369
5320 1.50503 -0.20633 0.0233917
5330 1.52383 -0.211302 0.0231957
5340 1.50562 -0.218595 0.022094
5350 1.50761 -0.217548 0.0222271
5360 1.51106 -0.213226 0.0226641
5370 1.50568 -0.217999 0.0217615
5380 1.5064 -0.214182 0.0222448
5390 1.5063 -0.210528 0.0228878
5400 1.51033 -0.211583 0.0229221
5410 1.52156 -0.212292 0.0231384
5420 1.53127 -0.2103 0.0235796
5430 1.51407 -0.21639 0.0224343
5440 1.48374 -0.218372 0.0215621
5450 1.49966 -0.216927 0.0220059
5460 1.5099 -0.220868 0.0217955
5470 1.48795 -0.220705 0.0216426
5480 1.50762 -0.222818 0.0216971
5490 1.51044 -0.220576 0.0218655
5500 1.48501 -0.224776 0.0209468
5510 1.48591 -0.21836 0.0219302
5520 1.50996 -0.222767 0.0219532
5530 1.50452 -0.22573 0.0217581
5540 1.49536 -0.224535 0.0217388
5550 1.49809 -0.220197 0.0222952
5560 1.50758 -0.223452 0.0219822
5570 1.4799 -0.218264 0.022003
5580 1.47605 -0.224413 0.0213233
5590 1.52301 -0.224934 0.0220711
5600 1.5253 -0.220409 0.0228162
5610 1.52787 -0.221588 0.022894
5620 1.49354 -0.22429 0.0220774
5630 1.49302 -0.223199 0.0221893
5640 1.52432 -0.228852 0.0219086
5650 1.49722 -0.225935 0.0218847
5660 1.49472 -0.218379 0.0226921
5670 1.52111 -0.223577 0.0224297
5680 1.49824 -0.220923 0.0222073
5690 1.48914 -0.2192 0.0221312
5700 1.5251 -0.216751 0.0228668
5710 1.51876 -0.22039 0.0223424
5720 1.48305 -0.219983 0.0216341
5730 1.50031 -0.217942 0.0219083
5740 1.48462 -0.220929 0.0211515
5750 1.48284 -0.222031 0.020925
5760 1.4884 -0.214376 0.0218747
5770 1.50568 -0.215874 0.0219545
5780 1.50338 -0.22063 0.0215384
5790 1.50226 -0.217073 0.0221953
5800 1.51118 -0.225282 0.0213683
5810 1.47948 -0.217922 0.0218579
5820 1.48626 -0.221584 0.0217421
5830 1.492 -0.222878 0.0215157
5840 1.48253 -0.222747 0.0213161
5850 1.49335 -0.218995 0.0220042
5860 1.47944 -0.220701 0.0217591
5870 1.48729 -0.222658 0.021756
5880 1.49303 -0.21635 0.0227375
5890 1.48287 -0.222909 0.0218219
5900 1.51114 -0.223495 0.0219881
5910 1.51334 -0.222063 0.0219207
5920 1.47918 -0.21847 0.0217373
5930 1.50385 -0.224784 0.0214107
5940 1.49958 -0.223845 0.0214419
5950 1.49876 -0.220911 0.0217812
5960 1.50365 -0.223446 0.0215597
5970 1.50289 -0.218143 0.0223024
5980 1.50738 -0.221336 0.0218635
5990 1.49087 -0.211499 0.02261
6000 1.50085 -0.213594 0.0225663
6010 1.4721 -0.21874 0.0214422
6020 1.48864 -0.215719 0.0218284
6030 1.48221 -0.216047 0.0216753
6040 1.50209 -0.206166 0.0230785
6050 1.48283 -0.217452 0.0212611
6060 1.47233 -0.216937 0.0210453
6070 1.48122 -0.213196 0.0216057
6080 1.50578 -0.214859 0.0217406
6090 1.51494 -0.21552 0.0219404
6100 1.48589 -0.214622 0.021836
6110 1.48179 -0.212871 0.0219404
6120 1.48639 -0.218062 0.0213377
6130 1.50263 -0.219502 0.0215478
6140 1.49056 -0.217909 0.0215485
6150 1.4845 -0.222954 0.0206297
6160 1.50297 -0.216457 0.021715
6170 1.51835 -0.217076 0.0219955
6180 1.53961 -0.220953 0.0221525
6190 1.51356 -0.216523 0.0225144
6200 1.48342 -0.206546 0.0232022
6210 1.47871 -0.218083 0.0216917
6220 1.47999 -0.215736 0.0218582
6230 1.5128 -0.218626 0.0219544
6240 1.49663 -0.216914 0.0220088
6250 1.48062 -0.212146 0.0222175
6260 1.49403 -0.214615 0.0220129
6270 1.5164 -0.212123 0.0226753
6280 1.51977 -0.211416 0.0228236
6290 1.5217 -0.214439 0.0225166
6300 1.5204 -0.22133 0.0219445
6310 1.49385 -0.215153 0.0222641
6320 1.48016 -0.213751 0.0220391
6330 1.50724 -0.211025 0.022618
6340 1.5031 -0.206911 0.0228489
6350 1.50433 -0.208816 0.0226292
6360 1.47716 -0.20778 0.0221407
6370 1.51187 -0.215472 0.0215718
6380 1.53617 -0.212869 0.0223825
6390 1.49183 -0.209962 0.0222407
6400 1.49541 -0.20824 0.0224708
6410 1.50927 -0.211147 0.022278
6420 1.5281 -0.209729 0.022677
6430 1.49588 -0.211233 0.0219118
6440 1.48986 -0.211893 0.0216575
6450 1.50381 -0.215119 0.0215357
6460 1.49398 -0.212999 0.0216399
6470 1.50769 -0.215293 0.0218432
6480 1.49977 -0.216935 0.0216451
6490 1.5053 -0.218996 0.0213773
6500 1.46982 -0.218155 0.0209011
6510 1.50361 -0.219225 0.0212248
6520 1.50614 -0.213891 0.0219517
6530 1.51648 -0.211188 0.0226358
6540 1.48952 -0.212964 0.0222597
6550 1.49145 -0.214529 0.0221233
6560 1.48902 -0.215641 0.0218302
6570 1.48204 -0.217441 0.0215266
6580 1.49032 -0.22369 0.0209144
6590 1.51254 -0.220711 0.0218927
6600 1.48844 -0.219948 0.0217371
6610 1.4947 -0.215619 0.0224158
6620 1.49536 -0.217184 0.0223816
6630 1.49351 -0.221812 0.0219196
6640 1.50327 -0.215935 0.0226346
6650 1.49027 -0.2209 0.0219146
6660 1.4922 -0.225653 0.0217534
6670 1.49344 -0.229957 0.0214178
6680 1.52953 -0.230752 0.0220802
6690 1.49106 -0.224886 0.022408
6700 1.49499 -0.225714 0.0222775
6710 1.49836 -0.221968 0.0225643
6720 1.50352 -0.229097 0.0216882
6730 1.4937 -0.217098 0.0228804
6740 1.52397 -0.218905 0.0231269
6750 1.48843 -0.224773 0.0217596
6760 1.51481 -0.222047 0.0222481
6770 1.50513 -0.221566 0.0221012
6780 1.47054 -0.226518 0.0210016
6790 1.50008 -0.222775 0.0218662
6800 1.50497 -0.219811 0.0221797
6810 1.5014 -0.218183 0.0221785
6820 1.51755 -0.211616 0.0230416
6830 1.49789 -0.216807 0.0221192
6840 1.48121 -0.212648 0.0223457
6850 1.48382 -0.214506 0.0221286
6860 1.51346 -0.217393 0.0221064
6870 1.46582 -0.219128 0.0210667
6880 1.50978 -0.216746 0.0219705
6890 1.50363 -0.215294 0.0219526
6900 1.47328 -0.217155 0.0211259
6910 1.48089 -0.215456 0.0213771
6920 1.49385 -0.214913 0.0215696
6930 1.50979 -0.209412 0.0223673
6940 1.51217 -0.216693 0.0216063
6950 1.53446 -0.209106 0.022939
6960 1.50351 -0.214809 0.0217898
6970 1.50657 -0.215544 0.0217177
6980 1.5128 -0.213439 0.021952
6990 1.52788 -0.210009 0.0226932
7000 1.52092 -0.214212 0.0220981
7010 1.49686 -0.214106 0.0217144
7020 1.4812 -0.213255 0.021472
7030 1.4857 -0.213472 0.0214556
7040 1.4986 -0.213729 0.0216265
7050 1.45646 -0.213854 0.0210771
7060 1.48703 -0.213962 0.0214704
7070 1.48916 -0.212425 0.0215559
7080 1.49278 -0.210578 0.0217685
7090 1.49541 -0.208682 0.0218249
7100 1.49509 -0.213721 0.0212221
7110 1.47846 -0.211493 0.0213934
7120 1.48503 -0.212867 0.02151
7130 1.50682 -0.215928 0.0214733
